Stanza_num,ORIGINAL,TRANSLATION (GNEDICH),TRANSLATION (SHENGHELI),Canto_name
21,"I wonder (although Mars no doubt’s a god I
Praise) if a man’s name in a |||italics|||bulletin|||/italics|||
May make up for a |||italics|||bullet|||/italics||| in his body?
I hope this little question is no sin,
Because, though I am but a simple noddy,
I think one Shakspeare puts the same thought in
The mouth of some one in his plays so doting,|||asimov-720|||
Which many people pass for wits by quoting.","Всегда я Марса богом почитал,
Но все-таки раздумывал, признаться,
О тех, кто в списки доблести попал:
Приятно ль им сей славой наслаждаться,
Имея пулю в сердце? Я слыхал
В одной из пьес, которыми гордятся
Любители шекспировских цитат,
Такую ж мысль, чему я очень рад!","Я, впрочем, не пойму (хоть Марса чту вполне),
Чем компенсируют две |||italics|||строчки|||/italics||| в Бюллетене
Две |||italics|||точки|||/italics||| пулевых, в груди и на спине?
В вопросе этом нет иронии ни тени:
Я, может быть, простак, но память шепчет мне,
Что некий был Шекспир не чужд подобных мнений
В одной из драм своих, — столь чтимых там и тут,
Что их цитаторы за умников слывут.",Canto the Seventh
22,"Then there were Frenchmen, gallant, young, and gay:
But I’m too great a patriot to record
Their Gallic names upon a glorious day;
I’d rather tell ten lies than say a word
Of truth;—such truths are treason; they betray
Their country; and as traitors are abhorr’d
Who name the French in English, save to show
How Peace should make John Bull the Frenchman's foe.|||asimov-721|||","Там были и веселые французы,
Но я — неукротимый патриот:
В столь славный день моя британка-муза
Зазорных их имен не назовет!
Я мира с ними враг и враг союза;
По-моему, изменник даже тот,
Кто говорить о них дерзает честно.
В подобном деле правда неуместна!","Есть и французы там, веселые, лихие,
Но их не назову: я слишком патриот,
Чтоб галльским именам вить лавры боевые;
Пусть лучше мой язык двенадцать раз солжет,
Чем правду скажет раз: ведь истины такие —
Измена родине! Да будет презрен тот,
Кто о французах петь внушит британским музам,
Не с тем, чтоб доказать, что враг Джон-Буль французам.",Canto the Seventh
23,"The Russians, having built two batteries on
An isle near Ismail, had two ends in view;
The first was to bombard it, and knock down
The public buildings and the private too,
No matter what poor souls might be undone.
The city’s shape suggested this, ’tis true;
Form’d like an amphitheatre, each dwelling
Presented a fine mark to throw a shell in.","Две батареи русских с двух сторон
Грозили Измаилу в день осады
Амфитеатром был построен он,
Чему артиллеристы были рады.
Одна должна разрушить бастион,
Другая — зданья, улицы и склады
С живым инвентарем: в подобный день
И он являл отличную мишень!","Воздвигли русские на низком островке
Две батареи; цель у них была двойная.
Во-первых, — Измаил громить: невдалеке
Амфитеатром он сбегал к волнам Дуная
И так доступен был для ядер! Налегке
По нем прошлась бы смерть, с лица земли сметая
Дворец и хижину, редут и минарет.
А жертвы — пустяки! до них и дела нет.",Canto the Seventh
24,"The second object was to profit by
The moment of the general consternation,
To attack the Turk’s flotilla, which lay nigh
Extremely tranquil, anchor’d at its station:
But a third motive was as probably
To frighten them into capitulation;
A phantasy which sometimes seizes warriors,
Unless they are game as bull-dogs and fox-terriers.","Второю целью было — не зевать,
Воспользоваться общим замешательством
И в гавани врасплох атаковать
Турецкий флот; подобным обстоятельством
Цель достигалась третья — страх нагнать,
Который служит лучшим доказательством,
Что время сдаться; воин ведь — и тот,
В отличье от бульдога, устает!","Вторая цель была — воспользоваться часом
Всеобщей паники и нанести удар
Турецким кораблям, — галерам и баркасам, —
Что спали в гавани, к себе маня пожар.
И третий был мотив, быть может: седовласым
Пашам нагнать испуг и, силой этих чар,
Принудить к сдаче. Есть подобные примеры, —
Ведь не всегда вожди храбры, как фокстеррьеры.",Canto the Seventh
25,"A habit rather blamable, which is
That of despising those we combat with,
Common in many cases, was in this
The cause of killing Tchitchitzkoff and Smith;
One of the valorous 'Smiths' whom we shall miss
Out of those nineteen who late rhymed to “pith;”
But ’tis a name so spread o’er “Sir” and “Madam,”
That one would think the first who bore it “Adam.”|||asimov-722|||","Есть у иных наклонность предурная
Презрения к противнику порой.
И губит зря заносчивость такая
Всех, кто отмечен прозвищем «герой».
Так именно погибли, я считаю,
И некий Чичичков и Смит — второй
Из двадцати, — но их ведь очень много:
Адам и тот был Смитом, ей-же-богу!","Привычка презирать противника грозит
Во многих случаях порядочной бедою —
И все же есть она! И Чичицков, и Смит
Погибли, сгублены привычкою такою.
Итак, один храбрец, рифмующий с «убит»,
Из девятнадцати уж вычеркнут судьбою.
Но Смиты столь часты средь сэров и мадам,
Что я не удивлюсь, коль звался так Адам.",Canto the Seventh
26,"The Russian batteries were incomplete,
Because they were constructed in a hurry;
Thus the same cause which makes a verse want feet,
And throws a cloud o’er Longman|||asimov-723||| and John Murray,|||asimov-724|||
When the sale of new books is not so fleet
As they who print them think is necessary,
May likewise put off for a time what story
Sometimes calls “murder,” and at others “glory.”","Все батареи русских впопыхах
Сооружались — спешка, вероятно,
Частенько портит дело и в стихах
(Ведь Лонгмену и Мерри неприятно,
Когда их книжки новые никак
Не продаются) и, вполне понятно,
Вредит тому, что ныне бард иной
То «славой» именует, то «резней».","Две батареи те не очень были ладно
Устроены: ведь их воздвигли «поскорей».
Так, торопливый стих бывает хром изрядно, —
А после хмурятся Лонгмен или Муррей,
Что книга новая идет не так отрадно
Как (по издательским привычкам) надо б ей.
И так же портит спех и подвиг величавый,
Слывущий то «резней» в истории, то «славой».",Canto the Seventh
27,"Whether it was their engineer’s stupidity,
Their haste, or waste, I neither know nor care,
Or some contractor’s personal cupidity,
Saving his soul by cheating in the ware
Of homicide, but there was no solidity
In the new batteries erected there;
They either miss’d, or they were never miss’d,
And added greatly to the missing list.","Строителя ль то было неумение,
Подрядчик ли смошенничал слегка,
Чтоб, смертоносное сооружение
Испортив, на душу не взять греха, —
Но так или иначе, без сомнения,
Постройка батарей была плоха:
Они обычно невпопад стреляли,
Зато мишень собою представляли.","Не знаю, глупость ли, поспешность ли была
Тут инженерская, или подрядчик бойкий,
Чтоб на душу не брать чрезмерно много зла,
Слегка смошенничал в убийственной постройке, —
Но батареи те, с угла и до угла,
Солидны не были, да не были и стойки.
С них «мажут» при пальбе, по ним же «мазу» нет, —
И кровь |||italics|||размазанных|||/italics||| багрит их парапет.",Canto the Seventh
28,"A sad miscalculation about distance
Made all their naval matters incorrect;
Three fireships lost their amiable existence
Before they reach’d a spot to take effect:
The match was lit too soon, and no assistance
Could remedy this lubberly defect;
They blew up in the middle of the river,
While, though ’twas dawn, the Turks slept fast as ever.","Дистанции печальное незнание
Им тоже причинило много зла:
Закончили свое существование
Три русских брандера, сгорев дотла.
Их подожгли случайно много ранее,
Чем вражеская сила подошла.
Они на рейде на заре взорвались,
Когда враги еще не просыпались.","Вдобавок разочли неверно расстоянье,
И четко провести не мог атаку флот:
Три милых брандера свое существованье,
До места не дойдя, покончили средь вод;
Фитиль не во-время зажжен был; все старанья
Тут не могли помочь, и глупый ждал исход:
Взрыв посреди реки, когда, хоть и светало,
Все турки нежились, уйдя под одеяла.",Canto the Seventh
29,"At seven they rose, however, and survey’d
The Russ flotilla getting under way;
’Twas nine, when still advancing undismay’d,
Within a cable’s length their vessels lay
Off Ismail, and commenced a cannonade,
Which was return’d with interest, I may say,
And by a fire of musketry and grape,
And shells and shot of every size and shape.","Но вот проснулись турки — и вдали
Вдруг русскую эскадру увидали,
А ровно в девять эти корабли
Неустрашимо продвигаться стали
В виду у Измаила; подошли,
И канонада началась. Едва ли,
Читатель, перечислю я тебе
Все виды ядер при такой пальбе!","Однако в семь часов они, восстав от сна,
Эскадру русскую увидели в движенье;
А в девять, подойдя на ка́бельтов, она
Спустила якоря, и — началось сраженье.
Но канонада ей была отомщена,
Уверить вас могу, с лихвою: в дополненье
К снарядам разных форм, калибров и сортов
Картечь и пули к ней летели с берегов.",Canto the Seventh
30,"For six hours bore they without intermission
The Turkish fire, and aided by their own
Land batteries, work’d their guns with great precision:
At length they found mere cannonade alone
By no means would produce the town’s submission,
And made a signal to retreat at one.
One bark blew up, a second near the works
Running aground, was taken by the Turks.","Так шесть часов подряд они сносили
Огонь турецкий. Не жалея сил,
Ему в ответ береговые били,
Но, видя, что не сдастся Измаил,
В час пополудни дружно отступили.
Один корабль при этом взорван был,
Другой (маневр был, видно, неудачен!)
Уткнулся в мель и сразу был захвачен.","Пальбу турецкую снося, без остановки
Часов до трех почти бил метко русский флот:
Все канониры там, как видно, были ловки.
Однако, увидав, что город не падет,
Что недостаточно одной бомбардировки,
Прервали русские обстрел бесплодный тот,
Один их барк взлетел, другой на дне песчаном
Увяз, немедленно добычей стал османам.",Canto the Seventh
31,"The Moslem, too, had lost both ships and men;
But when they saw the enemy retire,
Their Delhis mann’d some boats, and sail’d again,|||asimov-725|||
And gall’d the Russians with a heavy fire,
And tried to make a landing on the main;
But here the effect fell short of their desire:
Count Damas drove them back into the water|||asimov-726|||
Pell-mell, and with a whole gazette of slaughter.","И мусульмане тоже потеряли
Немало кораблей, но, увидав,
Что отступает враг, возликовали,
И делибаши бросились стремглав
На русских. Эта вылазка едва ли
Дала плоды желаемые: граф
Дама их искрошил и сбросил в воду —
Газетным сообщениям в угоду.","Хоть были и у тех потери велики
Судами и людьми, но русские отплыли.
«Дели́» тут кинулись проворно в челноки
И беглою пальбой неверных проводили,
Притом попробовав десантом на пески
Сойти у батарей, — но там их искрошили:
Их граф Дама́ в Дунай смахнул — и матерьял
На дюжину газет резней такою дал.",Canto the Seventh
32,"“If” (says the historian|||asimov-727||| here) “I could report
All that the Russians did upon this day,
I think that several volumes would fall short,
And I should still have many things to say;”
And so he says no more—but pays his court
To some distinguish’d strangers in that fray;
The Prince de Ligne,|||asimov-728||| and Langeron,|||asimov-729||| and Damas,
Names great as any that the roll of Fame has.","""Когда бы нам (историк говорит)
Деянья русских описать досталось бы,
Тома б наполнить мог любой пиит —
И многое несказанным осталось бы!»
А посему о русских он молчит
И воздает хвалы (смешно, казалось бы!)
Десятку чужеземцев: Ланжерон,
Дама, де Линь — вот русской славы звон!","Историк говорит: «Для описанья боя
И русских подвигов за этот день — томов
Пришлось бы написать пять или шесть, и то я
Всего б не рассказал». И тут, не тратя слов,
Он смолк, но далее — ни одного героя
Назвал почтительно из знатных чужаков:
Дама припомнил он, де Линя, Ланжерона, —
И Слава в список свой ввела их благосклонно.",Canto the Seventh
33,"This being the case, may show us what Fame |||italics|||is|||/italics|||:
For out of these three |||italics|||“preux Chevaliers,”|||/italics||||||asimov-730||| how
Many of common readers give a guess
That such existed? (and they may live now
For aught we know.)|||asimov-731||| Renown’s all hit or miss;
There’s fortune even in fame, we must allow.
’Tis true the Memoirs of the Prince de Ligne
Have half withdrawn from |||italics|||him|||/italics||| oblivion’s screen.","И это подтверждает нам, сколь слава
Существенна и сколь она нужна:
Не будь ее — читатели бы, право,
Не слышали про эти имена.
Все лотерея, рассуждая здраво, —
И почести, и слава, и война!
Но, впрочем, вот де Линя без усилий
|||italics|||Его|||/italics||| же мемуары воскресили!","Вот случай показать природу славы. Кто
Слыхал об этих трех preux chevaliers? На деле
Читатель и не знал, ручаюсь я за то,
Живут они иль нет (хоть, может быть, доселе
Они не умерли). (Известность — как лото,
И слава — выигрыш. Но в наши дни успели
«Воспоминания» де Линя разогнать
Туман забвения, что стал его скрывать.",Canto the Seventh
34,"But here are men who fought in gallant actions
As gallantly as ever heroes fought,
But buried in the heap of such transactions
Their names are rarely found, nor often sought.
Thus even good fame may suffer sad contractions,
And is extinguish’d sooner than she ought:
Of all our modern battles, I will bet
You can’t repeat nine names from each Gazette.|||asimov-732|||","Хоть были там, конечно, и герои
Бесстрашные средь мертвых и живых,
Но в толкотне и суматохе боя
Никто не видит и не ищет их.
У бранной славы свойство есть плохое —
Легко тускнеть. Когда считать своих
Прославленных в боях героев станем,
Имен десятка даже не натянем.","Там были и еще способные рубаки,
Не хуже всех других в любой другой войне,
Но где их имена? Развеяны во мраке,
И кто разыщет их в истории, на дне?
Так слава истая свои теряет знаки
Средь общей сутолки и глохнет в шумном дне;
И я пари держу: вам не назвать отважных
И девяти, — о ком в газетах пишут важных.",Canto the Seventh
35,"In short, this last attack, though rich in glory,
Show’d that |||italics|||somewhere, somehow,|||/italics||| there was a fault,
And Admiral Ribas (known in Russian story)|||asimov-733|||
Most strongly recommended an assault;
In which he was opposed by young and hoary,
Which made a long debate; but I must halt,
For if I wrote down every warrior's speech,
I doubt few readers e’er would mount the breach.","Ну, словом, как ни славен этот бой,
Но было |||italics|||что-то, где-то, почему-то|||/italics|||
Неладно: де Рибас, морской герой,
Настаивал на штурме, но ему-то
Все возражали; спор кипел большой.
Но тут уж я помедлю на минуту —
Речей припоминать я не хочу:
Читателям они не по плечу!","Хотя и славная, атака в это раз
Не вышла; |||italics|||значит, был какой-то|||/italics||| промах, |||italics|||где-то;|||/italics|||
И русский адмирал, известный де Рибас,
Упорно требовал от генералитета
Назначить общий штурм, но получил отказ:
И старцев, и юнцов — всех устрашило это.
Но споры излагать не стану я, не то
Поэму штурмовать рискнет едва ли кто!",Canto the Seventh
36,"There was a man, if that he was a man,
Not that his manhood could be call’d in question,
For had he not been Hercules, his span
Had been as short in youth as indigestion
Made his last illness, when, all worn and wan,
He died beneath a tree, as much unblest on
The soil of the green province he had wasted,
As e’er was locust on the land it blasted.","Потемкин был в то время знаменит.
Геракла он имел телосложенье,
Но, несмотря на знатный аппетит,
Всю жизнь страдал от злого несваренья
Желудка; был он желчен и сердит
И умер он один в своем именье,
В унынье мрачном дни свои влача,
Как проклятая всеми саранча.","Был человек... Но так я говорю с оглядкой:
Не мужественность в нем мы отрицать могли б;
Не будь он — Геркулес, его фортуна краткой
Была бы, как болезнь, от коей он погиб;
От несварения он умер, пищей сладкой
Объевшись, — и лежал у придорожных лип,
Стяжав проклятия страны, им разоренной, —
Как саранча, что мрет на ниве обнаженной.",Canto the Seventh
37,"This was Potemkin|||asimov-734|||—a great thing in days
When homicide and harlotry made great;
If stars and titles could entail long praise,
His glory might half equal his estate.
This fellow, being six foot high, could raise
A kind of phantasy proportionate
In the then sovereign of the Russian people,
Who measured men as you would do a steeple.","Потемкин был чудовищно богат
Поместьями, деньгами и чинами
В те дни, когда убийство и разврат
Мужчин дородных делало богами.
Он был высок, имел надменный взгляд
И щедро был украшен орденами
(В глазах царицы за один уж рост
Он мог занять весьма высокий пост!)","То был Потемкин, — муж, великий в те года,
Когда величие убийством и развратом
Стяжалось. Если честь нам титул и звезда
Дают, — он славен был, и был вдвойне богатым.
Саженный рост его доставил без труда
Ему внимание царицы, что завзятым
Была вербовщиком высокорослых толп,
И мерила людей, как люди мерят столб.",Canto the Seventh
38,"While things were in abeyance, Ribas sent
A courier to the prince, and he succeeded
In ordering matters after his own bent;
I cannot tell the way in which he pleaded,
But shortly he had cause to be content.
In the mean time, the batteries proceeded,
And fourscore cannon on the Danube’s border
Were briskly fired and answer’d in due order.","Тем временем секретного курьера
Светлейшему отправил де Рибас;
Тот рассмотрел предложенные меры
И подписал желаемый приказ.
Ему повиновались офицеры,
И в предусмотренный приказом час
На берегах Дуная, свирепея,
Сурово загремели батареи.","Пока дебаты шли, и время шло, отправил
Рибас к Потемкину курьера. Удалась
Его затея: он все дело так представил,
Что план его вполне одобрил властный князь.
Что́ адмирал писал, как он в письме лукавил, —
Не знаю, а пока еще одна взнеслась
Там батарея, и — жерл восемьдесят било
По городу, терпя рипосты Измаила.",Canto the Seventh
39,"But on the thirteenth, when already part
Of the troops were embark’d, the siege to raise,
A courier on the spur inspired new heart
Into all panters for newspaper praise,
As well as dilettanti in war’s art,
By his despatches couch’d in pithy phrase;
Announcing the appointment of that lover of
Battles to the command, Field-Marshal Souvaroff.","Тринадцатого стали отступать
Гяуры, сняв осаду; но гонец
Явился неожиданно опять
Пришпорить ярость доблестных сердец
И дух геройский наново поднять.
Приказ гласил, чтоб положить конец
Всем нехристям без дальних разговоров, —
Назначен к ним фельдмаршал, сам Суворов!","Тринадцатого, вдруг, когда уже войска
Грузились на суда, осаду прекращая,
Курьер, примчавшийся, подбавил огонька
В сердца всех жаждавших, чтоб слава боевая
Газеты обошла. Довольно коротка
Была депеша та, что к берегам Дуная
Примчалась: князь приказ «взять штурмом Измаил»
Любовнику войны — Суворову — вручил!",Canto the Seventh
40,"The letter of the prince to the same marshal
Was worthy of a Spartan,|||asimov-735||| had the cause
Been one to which a good heart could be partial—
Defence of freedom, country, or of laws;
But as it was mere lust of power to o’er-arch all
With its proud brow, it merits slight applause,
Save for its style, which said, all in a trice,
“You will take Ismail at whatever price.”|||asimov-736|||","Фельдмаршалу светлейший написал
Короткое спартанское посланье.
Когда бы он свободу защищал,
Посланье это стоило б вниманья;
Но он порок и жадность ублажал,
Когда, сынам Беллоны в назиданье,
Классическую строчку сочинил:
«Любой ценой возьмите Измаил!»","Приказ Потемкина, пожалуй, был достоин
Спартанца, если бы он не был столь кровав, —
Буди он дух, — иди с ним благородный воин,
Защитник родины, свободы или прав;
Но князь —он не был так возвышенно настроен:
Он славой лишь хотел упиться, проблистав.
Что ж тут хвалить? Но стиль был точно из металла:
«Возьмите Измаил во что бы то ни стало».",Canto the Seventh
41,"“Let there be light! said God, and there was light!'
“Let there be blood!” says man, and there’s a sea!
The fiat of this spoil’d child of the Night
(For Day ne'er saw his merits) could decree
More evil in an hour, than thirty bright
Summers could renovate, though they should be
Lovely as those which ripen’d Eden’s fruit;
For war cuts up not only branch, but root.","«Да будет свет!» — господь провозгласил,
«Да будет кровь!» — провозгласили люди.
И вот в боренье злых страстей и сил
Они взывают с ужасом о чуде.
Один жестокий час испепелил
Цветущий рай, и после в дымной груде
За сотни лет не разобраться нам:
Война вредит и кронам и корням!","Бог рек: «Да будет свет». И бысть он. Человек
Сказал: «Да будет кровь». И крови льются реки.
И грозный fiat сей, что Ночи сын изрек
(Ведь княжьих подвигов День не видал вовеки),
В час больше зла родит, чем блага — целый век,
Сто благодатных |||italics|||лет|||/italics|||. Ведь войны — дровосеки,
Что рубят и стволы, и корни, — пусть на рай
Похож захваченных их исступленьем край.",Canto the Seventh
42,"Our friends the Turks, who with loud “Allahs” now
Began to signalise the Russ retreat,
Were damnably mistaken; few are slow
In thinking that their enemy is beat
(Or |||italics|||beaten,|||/italics||| if you insist on grammar, though
I never think about it in a heat),
But here I say the Turks were much mistaken,
Who hating hogs, yet wish’d to save their bacon.|||asimov-737|||","Встречали турки русских отступленье
Восторженными криками «алла!»;
Но, как и все ошибки самомненья,
Их радость преждевременна была.
Считать врага нам лестно, к сожаленью,
Побитым. Но грамматика ведь зла —
|||italics|||Разбитым|||/italics||| будет правильней, я знаю,
Да сгоряча о формах забываю.","С восторженным «Алла!», вытягивая шем,
Дивились турки: враг осаду снял, бежит!
Ошиблись дьявольски! Как лезут к нам идеи
Досрочные о том, что неприятель бит
(Или |||italics|||побит,|||/italics||| коль вам грамматика милее,
Чем вдохновение, что душу мне палит)!
Восторг понятен их: они свиней гнушались,
Но очень за свои окорока боялись.",Canto the Seventh
43,"For, on the sixteenth, at full gallop, drew
In sight two horsemen, who were deem’d Cossacques
For some time, till they came in nearer view.
They had but little baggage at their backs,
For there were but three shirts between the two;
But on they rode upon two Ukraine hacks,|||asimov-738|||
Till, in approaching, were at length descried
In this plain pair, Suwarrow and his guide.","Шестнадцатого турки вдалеке
Увидели двух всадников лихих,
Скакавших без поклажи, налегке
На лошаденках маленьких своих.
Обычна смелость в русском казаке;
Особо не разглядывали их,
Когда ж они поближе подскакали,
В одном из них Суворова узнали!","Шестнадцатого все увидели, что вскачь
Два мчатся всадника, — и обманулись сильно,
В них казаков признак; ошиблись так, хоть плачь:
И кладь у них была не чересчур обильна, —
Рубашки три на двух, — и пара жалких кляч
Украинских несла их по дороге пыльной,
Но, лишь приблизились, и стало видно вмиг,
Что то Суворов был и рядом проводник.",Canto the Seventh
44,"“Great joy to London now!” says some great fool,
When London had a grand illumination,
Which to that bottle-conjurer, John Bull,
Is of all dreams the first hallucination;
So that the streets of colour’d lamps are full,
That Sage (|||italics|||said|||/italics||| John) surrenders at discretion
His purse, his soul, his sense, and even his nonsense,
To gratify, like a huge moth, this |||italics|||one|||/italics||| sense.","«Какая радость в Лондоне!» — вскричал
Болван, когда узрел иллюминацию.
Джон Буль всегда восторженно встречал
Народную сию галлюцинацию;
Ракет и ламп цветистый карнавал
Его пьянит, и он во имя нации
Готов отдать и жизнь и кошелек, —
Гигантский одуревший мотылек!","«Вот радость в Лондоне!» — дурак ликует пылкий,
Иллюминацией богатой восхищен:
Джон-Булю, вечному любителю бутылки,
Средь прочих снов его милей вот этот сон.
Когда на улицах цветастые коптилки
Мигают, он отдать готов, сей мудрый Джон,
И душу, и кошель, и ум, и глупость даже,
Чтоб мотыльком ночным порхать в цветном мираже.",Canto the Seventh
45,"’Tis strange that he should farther “damn his eyes,”
For they are damn’d; that once all-famous oath
Is to the devil now no farther prize,
Since John has lately lost the use of both.
Debt he calls wealth, and taxes Paradise;
And Famine, with her gaunt and bony growth,
Which stare him in the face, he won't examine,
Or swears that Ceres|||asimov-739||| hath begotten Famine.","Ругательство английское гласит:
«Будь прокляты глаза мои!» И точно —
Джон Буль теперь на что ни поглядит,
Все видит наизнанку, как нарочно:
Ему налоги — рай, долги — кредит,
И даже сам костлявый голод, прочно
Его поработивший господин, —
Не боле, как Цереры младший сын.","Не знаю, для чего он дьяволу в заклад
Сулит свои глаза; в том пользы аду нету:
Давно уж проклят стал Джон-Буля тусклый взгляд, —
И понапрасну он бормочет клятву эту.
Он мнит богатством долг, налогам очень рад,
И даже Голоду, костлявому скелету,
В лицо не поглядит, а если глянет |||italics|||тот,|||/italics|||
Он кротко в нем дитя Цереры признает.",Canto the Seventh
46,"But to the tale:—great joy unto the camp!|||asimov-740|||
To Russian, Tartar, English, French, Cossacque,
O’er whom Suwarrow shone like a gas lamp,
Presaging a most luminous attack;
Or like a wisp along the marsh so damp,|||asimov-741|||
Which leads beholders on a boggy walk,
He flitted to and fro a dancing light,
Which all who saw it follow’d, wrong or right.","Но ближе к делу; лагерь ликовал,
Шумели и французы и казаки,
Их, как фонарь, Суворов озарял —
Залог победы в яростной атаке.
Как огонек болотный, он сиял
И прыгал в надвигающемся мраке,
Всех увлекал вперед, неустрашим,
И все, не размышляя, шли за ним.","Вот радость в лагере! — Займусь опять рассказом.
Ликуют бритт, француз, татарин и казак:
Суворов им сверкнул рожком с горючим газом,
Как предвещение сияющих атак, —
Иль огоньком скорей болотным, синеглазым,
Что вьется у трясин, губительный маяк,
Заманивая в топь. — И все за ним летели,
Как зачарованы, не разбирая цели.",Canto the Seventh
47,"But certes matters took a different face;
There was enthusiasm and much applause,
The fleet and camp saluted with great grace,
And all presaged good fortune to their cause.
Within a cannon-shot length of the place
They drew, constructed ladders, repair’d flaws
In former works, made new, prepared fascines,|||asimov-742|||
And all kinds of benevolent machines.","Но лагерь ликовал на самом деле —
Всех воинов восторг обуревал;
Нетерпеливо ратники шумели,
И каждый о победе толковал.
Не думая о вражеском обстреле,
Они, уже готовясь лезть на вал,
Чинили пушки, лестницы, фашины
И прочие приятные машины.","Ну, все тут приняло особый оборот;
Везде энтузиазм, все выглядят бодрее;
Вождя приветствуют и армия, и флот,
И все готовятся свернуть османам шеи.
Всего на выстрел лишь от вражеских высот
Сбивают лестницы и чинят батареи,
Возводят новые, везут пуки фашин
И ладят все сорта иных благих машин.",Canto the Seventh
48,"’Tis thus the spirit of a single mind
Makes that of multitudes take one direction,
As roll the waters to the breathing wind,
Or roams the herd beneath the bull’s protection;
Or as a little dog will lead the blind,
Or a bell-wether form the flock’s connection
By tinkling sounds, when they go forth to victual;
Such is the sway of your great men o’er little.","Так направляет разум одного
Поток людской в едином направленье;
Так слушаются овцы своего
Барана; так слепые от рожденья
Идут, не опасаясь ничего,
За собачонкой — странное явленье!
Звон бубенца, вот сущность, черт возьми,
Людей великих власти над людьми.","И непреклонный дух упорно и сурово
Толпу несметную стремит одной тропой.
Как ветер волны мчит, хлеща их вновь и снова,
Как бык своих коров ведет на водопой,
Как пролагает путь собака для слепого,
Как, с колокольчиком, баран ведет гурьбой
Овец на пастбище, — так, волей их овеяв,
Великий человек влияет на пигмеев.",Canto the Seventh
49,"The whole camp rung with joy; you would have thought
That they were going to a marriage feast
(This metaphor, I think, holds good as aught,
Since there is discord after both at least):
There was not now a luggage boy but sought
Danger and spoil with ardour much increased;
And why? because a little—odd—old man,|||asimov-743|||
Stript to his shirt, was come to lead the van.","Весь лагерь ликовал, сказать бы можно,
Что брачный пир их ожидает всех
(Подобная метафора возможна
И уложилась в строчку без помех).
Любой юнец мечтал неосторожно
О битве и трофеях. Просто смех —
Старик чудаковатый и вертлявый
Всех увлекал с собой во имя славы.","Весь лагерь ликовал, как будто бы спеша
Итти на пиршество, на празднованье брака
(Моя метафора, ей-богу хороша:
В обоих случаях финалом будет драка).
Любой обозный ждал, в волненье чуть дыша,
Когда же грабежом украсится атака?
И все лишь потому, что старичок чудной,
В рубашку нарядясь, решил вести их в бой.",Canto the Seventh
50,"But so it was; and every preparation
Was made with all alacrity: the first
Detachment of three columns took its station,
And waited but the signal’s voice to burst
Upon the foe: the second’s ordination
Was also in three columns, with a thirst
For glory gaping o’er a sea of slaughter:
The third, in columns two, attack’d by water.","И потому-то все приготовленья
Поспешно делались: один отряд
Из трех колонн стоял, готов к сраженью,
И ждал, чтоб первый просвистел снаряд;
Другой был также в три подразделенья
И также жаждал крови и наград;
Поодаль третий был готовым к бою
И в двух колоннах двигался рекою.","Да, это было так. И все приготовленья
Шли с крайней быстротой. Передовой отряд,
Из трех колонн, стоял, дрожа от нетерпенья
На приступ ринуться чрез тысячи преград.
За ним, из трех колонн, еще подразделенье
Победы жаждало. Ту жажду утолят
Потоки крови лишь. Еще был двухколонный
Отряд, — с Дуная он рвал ленту обороны.",Canto the Seventh
51,"New batteries were erected, and was held
A general council, in which unanimity,
That stranger to most councils, here prevail’d,
As sometimes happens in a great extremity;
And every difficulty being dispell’d,
Glory began to dawn with due sublimity,
While Souvaroff, determined to obtain it,
Was teaching his recruits to use the bayonet","Совет военный дело обсудил,
Единодушно и единогласно
(Что редко достигается) решил —
Мол, положенье, в сущности, опасно,
Но при разумном напряженье сил
Вдали маячит слава — это ясно!
Суворов молча славу предвкушал
И самолично рекрут обучал.","С постройкой батарей назначен был совет,
Где (для советов акт почти что небывалый,
Тогда встречаемый, когда исхода нет)
Единодушие явили генералы, —
И прежних трудностей исчез последний след.
Заря побед уже струит свой отблеск алый.
Суворов же, решив его добыть, пока
Сам обучал солдат художеству |||italics|||штыка|||/italics|||.",Canto the Seventh
